word;word_en
miedo;fear
ansiedad;anxiety
angustia;distress
entusiasmo;enthusiasm
falta;lack
mal;wrong
dolor;pain
felicidad;happiness
enfermedad;illness
perder;lose
tristeza;sadness
conocimiento;knowledge
duda;doubt
esfuerzo;effort
inseguridad;insecurity
logro;achievement
principal;principal
seguro;sure
academia;academia
alivio;relief
ayuda;help
beca;scholarship
cansancio;fatigue
cortar;cut
dejar;leave
expectativa;expectation
impotencia;impotence
investigar;research
lograr;achieve
pena;grief
querer;want
aprender;learn
aprendizaje;learning
comunidad;community
contento;happy
continuaría;would continue
contribuir;contribute
cultura;culture
cumplir;accomplish
desastre;disaster
diario;daily
disfrutando;enjoying
disfrutar;enjoy
esperanza;hope
establecido;established
extrañar;miss
familia;family
familiar;familiar
hermosa;beautiful
importante;important
intriga;intrigue
laboral;labor
limitado;limited
nivel;level
oportunidad;chance
orgullo;pride
profesional;professional
recursos;resources
relaciones;relations
suerte;luck
sujeto;subject
tradicional;traditional
