"Timestamp","¿Vas a asistir a la reunión preSAN para estudiantes de grado/doctorado/posdoctorado?","Edad","Seleccioná la opción que mejor te represente.","Seleccioná todas las opciones que correspondan","Ciudad, Provincia","Posición","¿Publicaste alguna búsqueda de estudiante para realizar tesina de licenciatura, candidate a beca doctoral o posdoctoral durante 2020/2021/2022?","En relación a dichas búsquedas durante 2020/2021/2022, ¿cuántas entrevistas concretaste?","En relación a dichas búsquedas y entrevistas, ¿cuántas personas finalmente tomaste para dirigir?","Durante 2020, 2021, 2022, ¿te escribieron estudiantes interesades en tu trabajo/laboratorio que no acudieron específicamente por un llamado publicado?","Contanos tus impresiones sobre el proceso de búsqueda de estudiantes durante el tiempo que llevás dirigiendo... ¿Cambió el número de personas que te contactan? ¿Te cuesta más o menos difundir tus búsquedas? ¿Sentís más o menos competencia con otras posibilidades laborales? ¿Es un asunto que te preocupa o no por ahora?","Carrera, Universidad","Actualmente, ¿estás trabajando en un laboratorio en el área de las neurociencias?","¿Hace cuánto tiempo estás trabajando en un laboratorio en el área de las neurociencias?","¿Ingresaste al laboratorio para realizar una tesis de licenciatura o trabajo final de grado?","¿Cuál es tu intención de realizar un doctorado  en el área de las neurociencias?  ","Marcá todas las opciones que correspondan.","¿Qué alternativas estás considerando?","¿Consideraste otras alternativas laborales?","Seleccioná la opción que mejor te represente","Doctorado, Universidad","¿Qué tipo de beca tenés?","¿En qué estadío de tu doctorado estás?","¿Cuál es tu intención de realizar un posdoctorado en el área de las neurociencias?  ","Marcá todas las opciones que correspondan.","¿Qué alternativas estás considerando?","¿Consideraste otras alternativas laborales?","Seleccioná la opción que mejor te represente","¿Qué tipo de beca tenés?","¿En qué estadío de tu posdoctorado estás?","¿Cuál es tu intención de ingresar a carrera científica en Argentina en el área de las neurociencias?  (independientemente de que hagas o no un segundo posdoctorado)","Marcá todas las opciones que correspondan.","¿Qué alternativas estás considerando?","¿Consideraste otras alternativas laborales?","Seleccioná la opción que mejor te represente","¿Con quién/quiénes conversas sobre tu futuro profesional?","¿Qué pensamientos/emociones te despierta tomar este tipo de decisiones?"
"2022/07/25 4:31:28 PM GMT-3","Sí","19","Soy varón cis","No corresponde ninguna de las opciones anteriores","Caba","Soy estudiante de grado","","","","","","J","Sí, y percibo alguna remuneración económica (Ej., beca CIN)","No estoy trabajando en un laboratorio en el área de las neurociencias.","Sí, pero igualmente hubiera ingresado a algún laboratorio por interés personal.","Quiero hacer un doctorado en el área de las neurociencias.","","","Sí, pero no me convencieron tanto como la opción de realizar un doctorado en el área de las neurociencias.","Haría un doctorado en Argentina, considero la opción de mudarme a otra ciudad.","","","","","","","","","","","","","","","","No hablo con frecuencia sobre proyectos profesionales futuros.;Amigues/familiares que no pertenecen al ámbito científico.","Je"
"2022/07/25 4:32:58 PM GMT-3","No, no soy estudiante de grado/doctorado/posdoctorado.","33","Soy varón cis","No corresponde ninguna de las opciones anteriores","Jfjf","Soy estudiante de doctorado","","","","","","","","","","","","","","","Gg","No tengo beca","+ 5 años, estoy cerca de defender la tesis (dentro del próximo año)","Tengo algunas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","","","","","","","","","","No hablo con frecuencia sobre proyectos profesionales futuros.","Fjd"
"2022/07/27 3:33:30 PM GMT-3","Sí","28","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología, UBA","Beca CONICET (PUE)","4to año","Tengo muchas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","No","Haría un posdoctorado en Argentina, en la misma ciudad en la que resido actualmente.","","","","","","","","Amigues/familiares  que pertenecen al ámbito científico.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Me pesa la decisión de irme del país para hacer un posdoc, como si no hubiera alternativa válida en Argentina. "
"2022/07/27 3:34:26 PM GMT-3","No, soy estudiante pero no puedo asistir.","30","Soy mujer cis","No corresponde ninguna de las opciones anteriores","La Plata, Buenos Aires","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología, UNLP","Beca CONICET","+ 5 años, estoy cerca de defender la tesis (dentro del próximo año)","Quiero hacer un posdoctorado en el área de las neurociencias.","","","No","Quiero hacer un posdoctorado en el exterior y tengo una propuesta concreta.","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Investigadores/directores del laboratorio.","."
"2022/07/27 3:36:45 PM GMT-3","Sí","29","Soy mujer cis","Soy la primera persona con título de educación superior/universitaria en mi familia","Caba","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología, UBA","Beca CONICET","Comenzando (primer o segundo año)","Tengo algunas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","","","","","","","","","","Estudiantes del laboratorio.;Investigadores/directores del laboratorio.","Incertidumbre"
"2022/07/27 3:38:27 PM GMT-3","Probablemente sí","35","Soy mujer cis","Soy la primera persona con título de educación superior/universitaria en mi familia","Córdoba","Soy estudiante de posdoctorado","","","","","","","","","","","","","","","","","","","","","","","Beca CONICET","60-100%","No quiero ingresar a carrera científica en el área de las neurociencias.","No quiero/puedo/me interesa seguir una carrera científica por motivos económicos.;No quiero/puedo/me interesa seguir una carrera científica por motivos relacionados al sistema científico actual.","Ejercer mi profesion como psicologa clinica ","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Ufff, miedo. Sabes que un poco la decisión que tomes a mi edad es permanente. Mucha frustación y tristeza. Pero en cierta forma alivio
"
"2022/07/27 3:40:54 PM GMT-3","Probablemente sí","27","Soy mujer cis","Soy la primera persona con título de educación superior/universitaria en mi familia;Pertenezco a la comunidad LGBTIQ+","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Neurociencias, UNC","Beca CONICET","4to año","Tengo algunas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Estudiantes del laboratorio.","Incertidumbre"
"2022/07/27 3:41:23 PM GMT-3","Probablemente sí","27","Soy mujer cis","No corresponde ninguna de las opciones anteriores","Olivos, Buenos Aires","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biologia, UBA","Beca CONICET","Más o menos en la mitad (tercer año)","Tengo pocas intenciones de hacer un posdoctorado en el área de las neurociencias.","No quiero/puedo/me interesa seguir una carrera científica por motivos económicos.;No quiero/puedo/me interesa seguir una carrera científica por motivos relacionados al sistema científico actual.;No quiero/puedo/me interesa seguir una carrera científica por motivos personales.","En este momento no estoy considerando alternativas laborales","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.","Incertidumbre. Atraso el pensamiento para no agobiarme con eso ahora sabiendo que me falta para terminar el doctorado y es una meta que si quiero cumplir."
"2022/07/27 3:42:00 PM GMT-3","Probablemente sí","26","Soy mujer cis","Soy la primera persona con título de educación superior/universitaria en mi familia","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biologia, UBA","Beca CONICET","Comenzando (primer o segundo año)","Tengo muchas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","Sí, pero no me convencieron tanto como la opción de realizar un posdoctorado en el área de las neurociencias.","Quiero hacer un posdoctorado en el exterior pero aún no tengo ofertas seguras.","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.","Inseguridad, ansiedad e incertidumbre"
"2022/07/27 3:48:19 PM GMT-3","Sí","28","Soy mujer cis","Pertenezco a la comunidad LGBTIQ+","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología, UBA","Beca CONICET (PUE)","4to año","Tengo muchas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","No","Haría un posdoctorado en Argentina, en la misma ciudad en la que resido actualmente.","","","","","","","","Amigues/familiares  que pertenecen al ámbito científico.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Me agobia la noción de que si no hago un posdoc en otro país es casi un desperdicio."
"2022/07/27 3:48:24 PM GMT-3","Probablemente sí","27","Soy varón cis","Soy la primera persona con título de educación superior/universitaria en mi familia","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Neurociencias, UNC","Beca CONICET","Comenzando (primer o segundo año)","Tengo pocas intenciones de hacer un posdoctorado en el área de las neurociencias.","No quiero/puedo/me interesa seguir una carrera científica por motivos económicos.;No quiero/puedo/me interesa seguir una carrera científica por motivos relacionados al sistema científico actual.","Análisis de datos / programación;Tareas científicas en industrias;Startups científicas","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.","ansiedad"
"2022/07/27 4:00:28 PM GMT-3","No, soy estudiante pero no puedo asistir.","22","Soy mujer cis","No corresponde ninguna de las opciones anteriores","Ramos Mejia, Buenos Aires","Soy estudiante de grado","","","","","","Licenciatura en Psicología, UBA","Sí, trabajo ad honorem","Entre 1 y 2 años","No, ingresé únicamente por interés personal.","Tengo muchas intenciones de hacer un doctorado en el área de las neurociencias.","","","No","Quiero hacer un doctorado en el exterior pero aún no tengo ofertas seguras.","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.","Inseguridad e incertidumbre y también miedo a que mi formación en la UBA no es suficiente por todo el psa que tiene. Hay muchas áreas de la psicologia sobre las cuales podría y debería tener mayor conocimiento y aún no lo tengo"
"2022/07/27 4:10:49 PM GMT-3","Sí","26","Soy mujer cis","No corresponde ninguna de las opciones anteriores","Buenos aires","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología, uba","Beca CONICET","Comenzando (primer o segundo año)","Tengo algunas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.","Angustia"
"2022/07/27 4:15:51 PM GMT-3","Sí","30","Soy mujer cis","No corresponde ninguna de las opciones anteriores","caba","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología, UBA","Beca CONICET","+ 5 años, estoy cerca de defender la tesis (dentro del próximo año)","Quiero hacer un posdoctorado en el área de las neurociencias.","","","No","Quiero hacer un posdoctorado en el exterior y tengo una propuesta concreta.","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","adrenalina, ansiedad, miedo, entusiasmo"
"2022/07/27 4:18:45 PM GMT-3","Probablemente sí","31","Soy mujer cis","Soy la primera persona con título de educación superior/universitaria en mi familia","Buenos Aires, Boulogne","Soy estudiante de doctorado","","","","","","","","","","","","","","","Doctora en Ciencias Biologicas, UBA","Beca CONICET","5to año, no tengo opción de pedir prórroga // tengo opción de pedir prórroga pero no la voy a tomar","Quiero hacer un posdoctorado en el área de las neurociencias.","","","Sí, pero no me convencieron tanto como la opción de realizar un posdoctorado en el área de las neurociencias.","Quiero hacer un posdoctorado en el exterior pero aún no tengo ofertas seguras.","","","","","","","","Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.","incertidubre, miedo, emoción"
"2022/07/27 4:23:37 PM GMT-3","Probablemente sí","27","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología, UBA","Beca CONICET","Más o menos en la mitad (tercer año)","Tengo algunas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.","Ansiedad, angustia, miedo, duda, tristeza, frustración"
"2022/07/27 4:29:05 PM GMT-3","Probablemente sí","26","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biologìa. UBA","Beca CONICET","Comenzando (primer o segundo año)","Tengo muchas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","No","Quiero hacer un posdoctorado en el exterior pero aún no tengo ofertas seguras.","","","","","","","","Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.","Incertidumbre sobre el hecho de tener que planificarlo con tanto tiempo de anticipación"
